# Folder Path: levels/levels_ExtendedGAN_repaired
# Generator Name: ExtendedGAN_repaired
# Game Name: Super Mario Bros
# Ignore: False
# Content Diversity: 0.5072283600949249
# A* Diversity: 0.8101815950872487
# Coverage: 0.49142857142857144
# Number of intervals per dimension: 10
level_name,level,has_valid_characters,has_valid_size,has_visual_integrity,is_playable,actions,characteristics,generation_time
level38.txt,"-------------E------------------------------------------------------------------------------------------------------------------------------
----------SSSS------------------------------------------------------------------------------------------------------------------------------
SSSSSSSSSSSSSSSSSSSS-----SSS-------------------------------------------------------------------------------------------------------SSSSSS---
------SSSSSSSSSSSSSSS------X----------------------------------------------------------E--E--------------------------------------------------
-------SSSSSSSSSSSSS-----------------------------------------------------------------XXXXXX----XXXXXXX--------------------------------------
--------SSSSSSSS-------X---X--------------SSSS----------------------------Q----------?---XX-------------------------------------------------
---------------S-------------------------------------------------------------------------XX-------------------------------------------------
--------------S---------XX----------------------------------------------------------------------------------------XXX-----------------------
-----------?--SSS------XXXXX----------------------------------------------------------------------------------------------E-----------------
----E-----SSSSSSSX----XXXXSX-----Q-XXXX------------------------o--------QQQQQQQ-------S-S------XXX----------------X------<>--<>E-----E---Q-Q
-----------SSS--------XXXX---------------------------------E-----------------------------------------------XX------------[]---------<>------
-----------SSSS----XXXXXXXXX-------------------------------?--<>--------------------X-------XS------------XXX-----X------[]---------[]------
---E-------S--S--XXXX-XXXXXX---------------EE-E---------E-<>--[]-------------------------------E----------XXX-----X------[]---------[]------
--XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX--XXXXXXXXXXXXXXXX---XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX-XXXXXXXXXXXXXX----XXXXXXXXXXXXXXXXXXXXXXXXXX",True,True,True,True,"['0', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '9', '9', '10', '10', '10', '10', '10', '10', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10']","{'linearity': 0.2750239472735075, 'leniency': 0.2811519419845199, 'density': 0.5024390243902439, 'simmetry': 0.764737258958734, 'balance': 0.28087649402390436, 'decoration_frequency': 0.3190578158458244, 'enemy_sparsity': 0.6035463365674139}",13015674
level99.txt,"--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------SSSSSSSSSSSSSSSS-SSSSSSS---------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------X-----------------------------------------------------------------------------------
-------------------------------------------------------------E------------------------------------------------------------------------------
-----------------------------------------------------------S-----------------------------------------------SXXXX----------------------------
-X--------------------------------------------------------SXSX-------------------------------------------------X----------------------------
---------------------------------------------------------------------SXSX-----------------------------SX------------------------SXS---------
---------------QS--------SQS----------E---------XXX-------XX-------------------------E--------X----------SSS-----------X--------------------
-------------------------------------<>--------XXXX-----------------E-------E-------<>--------XX---E------------XX----------------------E---
-------------------------------------[]--------XXXX------XXXS---SXX--------<>-------[]--------XXX-------------------------------------------
------------E------------------------[]-----X-XXXXXXX----XSX---S-X---------[]----E-E[]--------XXX-----------------------------------------EE
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX--XXXXXXXX--XXX-XXXXXX-XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX",True,True,True,True,"['0', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '11', '11', '10', '10', '8', '8', '11', '11', '11', '11', '11', '11', '8', '8', '10', '10', '8', '8', '10', '10', '10', '10', '16', '16', '9', '9', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '18', '18', '8', '8', '9', '9', '11', '11', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '8', '8', '11', '11', '10', '10', '10', '10', '10', '10', '10']","{'linearity': 0.37222020167761666, 'leniency': 0.31378564953629456, 'density': 0.4146341463414634, 'simmetry': 0.7872048103189099, 'balance': 0.3261240751280592, 'decoration_frequency': 0.15417558886509639, 'enemy_sparsity': 0.4744990892531876}",12842543
level132.txt,"--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------SXSXSXSX--------------------------------------------------------------------------------------------
-------------------Q--------SQQ----SSSSXSX--------------------------------------------------------------------------------------------------
---SX-----------------------------------------------------------------------------------------------------------XX----------------------SXS-
-XXXX-------------------------------------X-------------------------------------------------------------------------------------------------
--------------------------------E---------------------X-----E-------E--------E------SX-------------SXSX-------------------------------------
XXX------------QS--------Q-QS--<>S-------------------XX----<>---------------<>------------XXX-----------------------------X-----------------
XXX--------X------E-E----------[]S-------------------XX-E--[]-----E--E------[]-XXXX---------------------------------------------------------
XX---S-------------<>----------[]------------------XXXX----[]----<>---------[]--------------------------------------------XXXXX-------------
XXX--SX-----EX-----[]--------E-[]---------EE-E--EEXXXXX----[]-E--[]------E--[]---------------------------------X----------XX----------------
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXXXXXXX-X--XXXXXXXXXXXXXXXXXXXXXXXXXXXX-------XXXX------XXXXXXXXXXX",True,True,True,True,"['0', '10', '10', '10', '10', '10', '10', '10', '10', '8', '8', '10', '10', '10', '10', '8', '8', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '18', '18', '18', '18', '19', '19', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '11', '11', '18', '18', '18', '18', '18', '18', '8', '8', '11', '11', '11', '11', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '16', '16', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '11', '11', '9', '9', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10']","{'linearity': 0.48501502336513597, 'leniency': 0.1710131789972805, 'density': 0.30243902439024384, 'simmetry': 0.7156157563806229, 'balance': 0.3491747296528173, 'decoration_frequency': 0.16702355460385437, 'enemy_sparsity': 0.2650273224043716}",13253418
level151.txt,"--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------SXSXSXSXSX------------------------------------
------------------------------------------?-------------SSS----------------XS-------XQQ----S--S-SX---------------S--------------------------
------------------------XXX---------------------------------------------------------------------------------------------------------SXSX----
--------------------------------------------------------------------------------XX----------------XS---------------------------X------------
----------------------------------------------------------------------------------------E-------E-------------X-XXX----------XXX------------
-------------------S----------------XX------------------SSSQSSS---------------------?--<>---------------------------------E--X-------XXXXXX-
---------------E--------------------------------------<>---------------------X--X----E-[]------------------XXX------------------------------
----------XXXXX---------------------------------------[]-----------------------XXXX----[]------SE---------XXXXX----------X----XX------------
-----------X-------------------------------E--E-------[]---------------E--------X----<>[]---SS----E--E-EEXXXXXX---------------------XX------
XXXXXXXXXX--XX--XXXXXXXXXXXXXXXXXXXX---XXXXXXXXXXXXXXXXXXXXXXXX---XXXXXXXX-XX-------XXXXXXXXXXXXX-XXXXXXXXXXXXX----------------------------X",True,True,True,True,"['0', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '11', '11', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '9', '9', '9', '9', '8', '8', '10', '10', '10', '10', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '8', '8', '8', '8', '10', '10', '10', '10', '8', '8', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '8', '8', '10', '10', '9', '9', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '18', '18', '18', '18', '18', '18', '10', '10', '11', '11', '11', '11', '8', '8', '10', '10', '10', '10', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '8', '8', '10']","{'linearity': 0.5154715377409145, 'leniency': 0.2534132905655115, 'density': 0.26829268292682923, 'simmetry': 0.8284545880679522, 'balance': 0.26010244735344334, 'decoration_frequency': 0.1284796573875803, 'enemy_sparsity': 0.3874284605684353}",13452667
level114.txt,"--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------X-XX----------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
-----------X-------XXX------------------------------------------------------------------------SSSQSSS?SS------------------------------------
-------------------------------------------------------XXXXXXE------------------------------------------------------------------------------
-------------------------------------------------------X------------------------------------------------------------------------------------
-----------------------------------------------------------------------E----------------------?---------------EX----------------------------
------S---------------------XXX------------E-----E-------------------XXX-----XX--XXX?---E----E??----SQQQ-----<>-------S---------------------
----------------------------XXX--------------X--<>---------------E-----------X---------<>--------------------[]---------------------------X-
----------------------------XXX---SS------------[]---------------XX-XXXX---------------[]--------------------[]--------------------------XX-
----------------------------XXX--SX-----XX------[]--------------------------XX-X----EE-[]---------EEE--------[]--------------E-E-------XXXX-
X-----XXX-------------------XXXXXXXXXXXXXXXXXXXXXXXXXXXX-----------------X-X--------XX-XXXXXX-XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX-XXXXXXXXX",True,True,True,False,[],{},12744656
level198.txt,"--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
------------S------SS-----------------------------------------------------------------------------------------------------------------------
-------------------S------------------------------------------------------------------------------------------------------SXSXSXSXS---------
--------SSSSSSSSSSSS--------------------SQ----Q--------------XX-------------------------------------------------X------S----SX--------------
--------------------------------------------------------------------------XXXX--------------------------------------------------------------
-E------------------------------------------------------------------------------X------------------------------X--------------XS------------
--------------------------XX--------------------------XX------------------------------------------------------------E-------E------------XXX
X-----<>--S?S--SSSS------XXX-----------E----QQQQ-----XX--SS--------XXXXX-----XXXXXX-------------------QQQSS---E----<>-------------------XXXX
------[]------S-SS-------XXX---EE--------------------XXX---------------------XXXXX---------------------------<>--E-[]-------------------XXXX
------[]-----S-----------XXX---<>--B-----------------XXX---------------------X------------<>-----------------[]----[]------SS--------XXXXXXX
X-----[]-----------------XXXE-<>---------------------XXX---------------------X-X----ESEE--[]--E--------------[]----[]---SS----EE----XXXXXXXX
X-X-XX--XXXX-XXXXXXXXXXXXXXXXX-XXXXXX-XX---XXXXXXXXXXXXX----------------------------XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX--XXXXXXXXXXXXX-",True,True,True,True,"['0', '10', '10', '10', '10', '17', '17', '10', '10', '10', '10', '18', '18', '16', '16', '16', '16', '10', '10', '11', '11', '11', '11', '11', '11', '11', '11', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '8', '8', '10', '10', '11', '11', '10', '10', '10', '10', '8', '8', '10', '10', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '8', '8', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '11', '11', '11', '11', '11', '11', '18', '18', '10', '10', '9', '9', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '19', '19', '19', '19', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '8', '8', '10', '10', '10', '10', '10', '10', '11', '11', '9', '9', '16', '16', '9', '9', '8', '8', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '8', '8', '10', '10', '8', '8', '10', '10', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '8', '8', '11', '11', '11', '11', '10', '10', '10', '10', '10']","{'linearity': 0.40217380271789827, 'leniency': 0.16013527648002226, 'density': 0.30731707317073165, 'simmetry': 0.6997106696623402, 'balance': 0.33181559476380196, 'decoration_frequency': 0.21413276231263384, 'enemy_sparsity': 0.5865209471766849}",13397136
level124.txt,"--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------X--XXXXX--------------------
-------------------------------------------SXSXS--------------------------------------------------------------------------------------------
----------------------------SSS-------XX---SX---XXX------------------------------------------------------XXXX-------------------------------
-----------------------------------------------------------------------------------------------------------------XXXXE----------------------
-----X---------X--------------------E-------------------------------------------------------------------------------------------------------
-------------XXX----------------------------------------------------------------------------------------------------------------------------
---X------------------------SS--S?SSS---------------------------XXX---------------XX--------------------------------------E--X------XXX---XX
------E--XXXX---------------------------------------------------------------------XX-------------------------------------<>---------XXX-----
-XXX-----XXXXXXX------------------------------------E----------------------------XXX-------------------------------------[]---XX----XXX-----
-XSX-----XX---------EE---E-E---------------E--E----XX------------------E--------EXXX---------------E-E-------------------[]-----X---XXXX----
XXXXXXXXXX-----XXXXXXXXXXXXXXXXXXXXX---XXXXXXX-XXX-XX--XXXXXXXXX-----XXX-XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX---X-X--XXX-----------XXXXXX",True,True,True,True,"['0', '10', '10', '9', '9', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '8', '8', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '9', '9', '10', '10', '10', '10', '8', '8', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '11', '11', '9', '9', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '16', '16', '10', '10', '10', '10', '10', '10', '9', '9', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '8', '8', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '11', '11', '10', '10', '10', '10', '10']","{'linearity': 0.4360744561093452, 'leniency': 0.2566766613206889, 'density': 0.26829268292682923, 'simmetry': 0.7816929865679603, 'balance': 0.2788844621513944, 'decoration_frequency': 0.07708779443254819, 'enemy_sparsity': 0.5324590163934427}",13102714
level108.txt,"--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------Q-----------------------------------------------------------------------------------------------------------
------------------------------------S---SSSSSSSSSSSSSSSS----------------------------SSSSSXSSS---------------------------SS--SSSSSSSSSSSSSSSS
-------------------------------------ES-----------------------------------------------------------------------------------------------------
----------------------------SS------<>---S---------------------------------------E----------------------------------------------------------
------------------------------------?S----SSS--Q--------SSS?------XSXSXSX-XXSXXXXXXX------------------------------------?SSS--SSSS----------
------------------------------SS-----------------------------------------XX----------------------------XXX---------SX-----------------------
-----------------------------XXXXX--------------------------------------------------------------------------XX---XXXX-----------------------
---------------E-------------X----------XSXSX-----------------------X-----------------------------S--------XX-------------E-----------------
----------------------------X-----------S-------------SSXXX--------------------------SSSS------XXXX-------XXXX--X-X---<>----SSSSS----------S
------------------------------------------------E--------------------------------------------------------XXXXX-------------SS-S-----E-------
------------XX------------------S--------------<>-----------------------------------------------------------X--------SSS-----SS----<>-------
-------------------------------SS-------E------[]---------------------------------------------------------------X-XS-SXS--S-SS-----[]------X
--------------------XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX----------------------------XXXXXXXXXXXX---XXXXX--------XXXXXXXXXXXXXXXXX-XXXXXXXXXX",True,True,True,False,[],{},14194310
level153.txt,"--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------XX--------------------
-------------------------E------------------------------------------------------------------------------------------------------------------
-S-----------S----------SSS----------------------------S------------------------SSS----------------------------S----------------------------
-----------------X---------------------------------SXSXX----------------------------------------------------------XXXE----------------------
---------------X-X-------------------------------------X------------------------------------------------------------------------------------
---------------------------S-------------------------------------------------------S----------------SXSX-----------------------E------------
--------------------------------------X----------S-S---------------------------------E-----XXXX----------SSS--------------E--XXX-----XX-XXX-
-------------X?-----------------------XXXXXX--------------------------X-------------<>-----------------------------------EE----------X------
--------------------------------------XX---------------------------------------------------------------------------------XX-XXXX-----X------
--------------------------SS----------XXX-------------------------------------------E-----------------------------------------------XX-X----
-------------------------XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX---------------------XXXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXXX---------X-----------------X",True,True,True,False,[],{},14122025
level82.txt,"--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
SSXSXSXSX------SS----------E----------------------------------------------------------------SSSSSSSSSSSSSSSSSSSS----------------------------
--------------------------<>------------------------------------------------------------------SSSSSSSSSSS-----------------------------------
--------------------------[]-----------------------------------------------------E----------S-SSSSSSSSSS------------------------------------
----------------------E-X-----SSSSSSS--------S-----------S-?--------X-----------SSSS--------SSSSSSSSSSSS-----------SSSS----------X----------
--------------------XXX--------------------------------------------------X-------------SX---------------------------------------------------
-------------------------------------------------------------------------X-----------E------------------------------------------------------
XSX------SSSSSSSX---------------------------SXS------------------------------------S--------------------------SX---------------XXXX---------
---X------------------XXXX-------XXX---------------------------------------------XXXX-----<>--SSSSSSSSS------SSS----------------------------
------------------------------------------------------------------------------------------[]---SS-S-SS----------------------X-----------E---
----------------------------XX------------------------------------------------------------[]---SSSS--------------X--------S-----------------
-----------------------------------------------------E------------------------------X-----[]----SSS----<>-E------------------------------E-E
XXXXXX---XXXXXXXX-----------XXXXXXXXXXXX---XXXXXXXXXXXXX----------------------------X-XX-X--XXXXXXXXX--XXXXXXXXXX----XXXXX-----XXXXXXXXXXXXX",True,True,True,False,[],{},12943657
